procedencia,Isla,gasto_persona,gasto_persona_dia,year,month
Con paquete turístico,Menorca,986.12,128.63,2016,9
Sin paquete turístico,Menorca,825.79,97.79,2016,9
Con paquete turístico,Eivissa-Formentera,944.09,139.79,2016,9
Sin paquete turístico,Eivissa-Formentera,851.99,156.62,2016,9
Con paquete turístico,Mallorca,1074.99,143.06,2016,8
Sin paquete turístico,Mallorca,1065.5,119.25,2016,8
Con paquete turístico,Menorca,1017.96,135.41,2016,8
Sin paquete turístico,Menorca,842.89,87.74,2016,8
Con paquete turístico,Eivissa-Formentera,999.93,150.01,2016,8
Sin paquete turístico,Eivissa-Formentera,982.27,148.43,2016,8
Con paquete turístico,Mallorca,1087.89,140.38,2016,7
Sin paquete turístico,Mallorca,1025.68,136.62,2016,7
Con paquete turístico,Menorca,1005.29,137.23,2016,7
Sin paquete turístico,Menorca,808.11,109.15,2016,7
Con paquete turístico,Eivissa-Formentera,990.64,150.41,2016,7
Sin paquete turístico,Eivissa-Formentera,1026.61,182.82,2016,7
Con paquete turístico,Mallorca,992.84,131.61,2016,6
Sin paquete turístico,Mallorca,899.43,132.79,2016,6
Con paquete turístico,Menorca,925.67,124.92,2016,6
Sin paquete turístico,Menorca,685.03,100.85,2016,6
Con paquete turístico,Eivissa-Formentera,862.86,132.46,2016,6
Sin paquete turístico,Eivissa-Formentera,868.96,164.02,2016,6
Con paquete turístico,Mallorca,970.31,134.66,2016,5
Sin paquete turístico,Mallorca,859.31,139.43,2016,5
Con paquete turístico,Menorca,804.43,124.36,2016,5
Sin paquete turístico,Menorca,711.83,110.23,2016,5
Con paquete turístico,Eivissa-Formentera,832.71,137.36,2016,5
Sin paquete turístico,Eivissa-Formentera,730.9,145.06,2016,5
Con paquete turístico,Mallorca,886.77,137.44,2016,4
Sin paquete turístico,Mallorca,789.19,118.95,2016,4
Con paquete turístico,Menorca,702.75,96.59,2016,4
Sin paquete turístico,Menorca,575.33,75.61,2016,4
Con paquete turístico,Eivissa-Formentera,732.63,162.03,2016,4
Sin paquete turístico,Eivissa-Formentera,598.76,98.49,2016,4
Con paquete turístico,Mallorca,858.66,134.42,2016,3
Sin paquete turístico,Mallorca,792.78,118.78,2016,3
Con paquete turístico,Menorca,745.8,96.84,2016,3
Sin paquete turístico,Menorca,447.44,82.6,2016,3
Con paquete turístico,Eivissa-Formentera,431.0,59.03,2016,3
Sin paquete turístico,Eivissa-Formentera,509.81,80.34,2016,3
Con paquete turístico,Mallorca,,,2016,2
Sin paquete turístico,Mallorca,,,2016,2
Con paquete turístico,Menorca,,,2016,2
Sin paquete turístico,Menorca,,,2016,2
Con paquete turístico,Eivissa-Formentera,,,2016,2
Sin paquete turístico,Eivissa-Formentera,,,2016,2
Con paquete turístico,Mallorca,,,2016,1
Sin paquete turístico,Mallorca,,,2016,1
Con paquete turístico,Menorca,,,2016,1
Sin paquete turístico,Menorca,,,2016,1
Con paquete turístico,Eivissa-Formentera,,,2016,1
Sin paquete turístico,Eivissa-Formentera,,,2016,1
Con paquete turístico,Mallorca,,,2015,12
Sin paquete turístico,Mallorca,,,2015,12
Con paquete turístico,Menorca,,,2015,12
Sin paquete turístico,Menorca,,,2015,12
Con paquete turístico,Eivissa-Formentera,,,2015,12
Sin paquete turístico,Eivissa-Formentera,,,2015,12
Con paquete turístico,Mallorca,,,2015,11
Sin paquete turístico,Mallorca,,,2015,11
Con paquete turístico,Menorca,,,2015,11
Sin paquete turístico,Menorca,,,2015,11
Con paquete turístico,Eivissa-Formentera,,,2015,11
Sin paquete turístico,Eivissa-Formentera,,,2015,11
Con paquete turístico,Mallorca,977.86,121.11,2015,10
Sin paquete turístico,Mallorca,854.84,107.84,2015,10
Con paquete turístico,Menorca,902.45,108.74,2015,10
Sin paquete turístico,Menorca,715.08,83.45,2015,10
Con paquete turístico,Eivissa-Formentera,907.27,114.28,2015,10
Sin paquete turístico,Eivissa-Formentera,817.83,108.39,2015,10
